id,arrondissementId,departementId,regionId,nom,code,is_verified,is_block,created_at,updated_at,nom_en,latitude,longitude,typeCommuneId,nom_maire
1,67,12,2,Commune de Yaoundé I,,true,false,2025-08-16T16:02:02.000Z,2025-08-16T16:02:02.000Z,,,,,
2,68,12,2,Commune de Yaoundé II,YDE1C,true,false,2025-08-16T15:24:20.955Z,2025-08-19T21:35:24.574Z,Yaounde II Council,,,,
3,69,12,2,Commune de Yaoundé III,YDE3C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Yaounde III Council,3.8355,11.506,,
4,70,12,2,Commune de Yaoundé IV,YDE4C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Yaounde IV Council,3.8595,11.534,,
5,71,12,2,Commune de Yaoundé V,YDE5C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Yaounde V Council,3.876,11.5415,,
6,72,12,2,Commune de Yaoundé VI,YDE6C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Yaounde VI Council,3.8405,11.4875,,
7,73,12,2,Commune de Yaoundé VII,YDE7C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Yaounde VII Council,3.874,11.4505,,
8,103,29,5,Commune de Douala I,DLA1C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Douala I Council,4.0448,9.6898,,
9,104,29,5,Commune de Douala II,DLA2C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Douala II Council,4.044,9.715,,
10,105,29,5,Commune de Douala III,DLA3C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Douala III Council,4.045,9.757,,
11,106,29,5,Commune de Douala IV,DLA4C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Douala IV Council,4.098,9.674,,
12,107,29,5,Commune de Douala V,DLA5C,true,false,2025-08-17T21:34:30.000Z,2025-08-17T21:37:26.000Z,Douala V Council,4.071,9.733,,
13,108,29,5,Commune de douala,GMC,true,false,2025-08-20T01:10:45.834Z,2025-08-20T01:10:45.834Z,douala municipality,267890,132345654,3,Meubeu dassi jamila
15,108,29,5,Commune de douala IV,DLA4,true,false,2025-08-20T01:16:00.870Z,2025-08-20T01:16:00.870Z,douala IV municipality,27890,12345654,1,Meubeu dassi jamila
16,108,29,5,Commune de douala VI,DLA6,true,false,2025-08-20T01:20:01.329Z,2025-08-20T01:20:01.329Z,douala VI municipality,27890,12345654,1,Meubeu dassi jamila
17,106,29,5,Commune de Douala 7,DLACE,true,false,2025-08-20T01:31:50.603Z,2025-08-20T01:31:50.603Z,douala 7 municipality,1237,12234,6,Meubeu dasss